type,amount,oldbalanceOrg,newbalanceOrig,isfraud
TRANSFER,93856,78233,22995,0
DEBIT,22937,41420,35200,0
CASH_IN,66640,97243,88377,0
DEBIT,52357,91552,70402,0
DEBIT,99718,34600,13566,0
PAYMENT,88870,48285,37822,0
CASH_IN,86220,62008,51222,0
CASH_IN,69528,89520,94088,1
CASH_IN,45293,5167,90450,0
DEBIT,81336,432,50668,0
TRANSFER,12215,69687,63853,1
CASH_IN,89884,71947,54643,0
DEBIT,12758,96324,22333,0
PAYMENT,21107,50903,15958,0
TRANSFER,3102,92159,52442,0
PAYMENT,53321,54149,20954,0
TRANSFER,22702,87640,75174,0
DEBIT,23872,56768,99683,0
CASH_OUT,90406,60184,9675,0
TRANSFER,79517,65792,89590,0
PAYMENT,80162,33439,31661,0
DEBIT,70479,33257,64289,0
TRANSFER,4936,44674,17184,0
CASH_OUT,91309,51248,47963,0
CASH_OUT,3979,83602,25822,0
CASH_IN,35743,45371,62303,0
CASH_IN,69865,98282,76465,1
PAYMENT,41753,67996,5267,0
TRANSFER,39886,37297,52647,0
TRANSFER,20333,54273,62814,0
CASH_IN,16438,61256,36025,0
TRANSFER,34588,34743,77605,0
TRANSFER,86496,68752,981,0
CASH_OUT,64150,79803,43436,0
CASH_IN,83839,75117,18472,0
DEBIT,6374,70051,19336,0
CASH_IN,35359,22076,25587,0
DEBIT,701,75312,77192,0
CASH_OUT,95608,87483,92862,0
PAYMENT,66477,2963,84046,0
TRANSFER,45906,72322,53013,0
CASH_OUT,57072,13866,84511,0
TRANSFER,97276,32305,9665,0
PAYMENT,79772,62403,27097,0
PAYMENT,13871,82896,91277,0
CASH_OUT,96847,32813,52474,0
PAYMENT,88312,66729,71973,0
DEBIT,63938,60686,25185,0
PAYMENT,83241,4512,75911,0
TRANSFER,41357,22666,92643,0
TRANSFER,3131,16630,30484,0
TRANSFER,83803,74519,45610,0
TRANSFER,28174,636,50807,0
DEBIT,25501,3775,50907,1
CASH_IN,59232,67957,57389,0
CASH_OUT,23175,64591,25835,0
TRANSFER,3758,78561,95279,0
PAYMENT,98591,74816,96453,0
TRANSFER,26563,11351,53790,0
PAYMENT,60390,55184,76960,0
PAYMENT,44341,95707,9643,0
TRANSFER,96043,69180,75846,0
DEBIT,96854,81678,18951,0
PAYMENT,39570,73309,92104,0
PAYMENT,53875,94002,15233,0
TRANSFER,46696,10778,13200,0
PAYMENT,75920,12501,52275,0
PAYMENT,4685,2108,87084,0
TRANSFER,66716,94905,76068,0
TRANSFER,77996,36382,89001,0
CASH_OUT,76226,91354,21291,0
DEBIT,10078,75787,42448,0
DEBIT,54470,23341,30580,1
PAYMENT,46428,77214,91685,0
DEBIT,26216,14367,21346,0
PAYMENT,297,95208,10619,0
CASH_OUT,22347,69868,1766,0
TRANSFER,20676,12002,3549,0
TRANSFER,1171,85820,18693,0
TRANSFER,90081,59949,62019,0
DEBIT,98074,15700,97458,0
CASH_OUT,38761,79305,48328,0
DEBIT,82073,62543,77701,0
DEBIT,89399,29318,89100,0
CASH_OUT,14768,89859,25301,0
CASH_OUT,65790,27610,44763,0
CASH_OUT,3188,72499,20765,0
CASH_OUT,31841,73374,44787,0
TRANSFER,2186,65226,7425,0
CASH_IN,33664,45167,12857,0
CASH_IN,26637,77779,52771,0
CASH_OUT,52560,27939,92999,0
CASH_IN,44920,61365,22444,0
CASH_IN,90427,67381,41457,0
CASH_OUT,58261,46710,79741,0
CASH_IN,35432,16766,704,0
DEBIT,11994,12780,5452,0
PAYMENT,89322,48458,38862,0
PAYMENT,61396,56221,61471,0
CASH_OUT,83301,1509,69217,0
TRANSFER,7145,89493,86058,0
CASH_OUT,330,34346,18300,0
TRANSFER,94181,82799,9566,0
PAYMENT,21694,46874,7501,0
CASH_OUT,55923,26148,1845,0
DEBIT,88784,31533,39181,0
CASH_IN,21899,78467,57263,0
TRANSFER,95859,1359,78766,1
CASH_IN,98081,90068,63038,0
CASH_IN,48909,60313,83290,0
CASH_OUT,10780,20344,34404,0
CASH_IN,39331,69778,22564,0
DEBIT,85972,20601,97898,0
CASH_IN,41787,19116,57435,0
CASH_OUT,46260,56985,18227,0
DEBIT,73044,30782,90296,0
PAYMENT,40140,49819,95259,0
CASH_IN,81941,84416,47475,0
CASH_OUT,49356,69035,17215,0
PAYMENT,2547,97123,71074,0
PAYMENT,84772,44458,21699,0
TRANSFER,15226,91556,12454,0
DEBIT,84159,8080,48217,0
CASH_IN,3019,88743,21711,0
